policy,num_stas,seed,pdr,tput_kbps,avg_delay_ms,p95_delay_ms,drop_rate,fairness,col_rate,retry_rate,raw_fit_pass,assoc_mean_ms,assoc_max_ms,assoc_scan_ms,assoc_auth_ms,assoc_req_ms,assoc_frac,e_total_mj,e_tx_mj,e_rx_mj,e_idle_mj,e_sleep_mj,e_retx_mj,retx_energy_pct,avg_tx_retries,ee_kbit_j,e_per_pkt_uj,elapsed_s
no_raw,100,42,0.9688498402555911,20.701866666666664,139.87526441620707,275.81770640827426,0.031150159744408934,0.9656236259228876,0.18925964546402502,0.18925964546402502,1.0,5602.673126798168,9190.394201167815,2759.310505809012,1261.7537333335956,1581.6088876555602,1.0,2517.988535999987,53.45784000000003,104.02781599998083,2360.502880000006,0.0,7.519727999999999,0.2986402794329497,6.19,9.865906712769931,103791.77807089804,1.68
no_raw,100,7,0.9601949634443542,20.1728,126.99975971433692,57.57199948245679,0.03980503655564582,0.9557559173621563,0.1833864118895966,0.18312101910828024,1.0,5722.58293988732,8790.245453107787,2749.7429600001315,1461.86480000009,1504.2255932204305,1.0,2516.220827199987,51.472368,104.02361653331413,2360.7248426666724,0.0,6.621839999999996,0.26316609132310065,5.89,9.620522864417106,106439.12128595544,1.67
no_raw,100,99,0.9640792733278283,19.92533333333333,152.2323976352813,791.6222525436929,0.03592072667217172,0.9649784959558237,0.19649495485926713,0.19649495485926713,1.0,5819.247125560844,9368.122666666724,2733.579400000063,1494.9009766456306,1590.76674891515,1.0,2516.5789237333197,51.898272000000006,103.99337706664711,2360.687274666673,0.0,7.635647999999993,0.30341381023220937,6.28,9.501152447279166,107776.39930335415,1.64
static,100,42,0.4870967741935484,10.308266666666666,2886.5740043562123,7703.7439186916,0.5129032258064516,0.7815252784918595,0.4666279744631457,0.4663377829367382,1.0,3509.546133333515,5959.5373333339385,2757.3274666667,355.3263733334457,396.89229333336937,1.0,470.60232216663246,47.091792000000034,103.04057759998004,268.13511333331843,52.33483923333387,17.539295999999997,3.7269888340647896,11.82,26.285293160155756,38957.145874721224,3.17
static,100,7,0.4672642244738893,10.231466666666668,2909.122333320048,7997.913248952865,0.5327357755261106,0.7789764291519913,0.4688514909949808,0.4688514909949808,1.0,3383.705066667054,5748.384000001089,2747.746573333539,299.6024666667544,336.3560266667606,1.0,471.0407706266363,47.373312,102.9659295999799,268.37281226665584,52.32871676000043,17.96356799999999,3.813590907662334,11.75,26.065174748390923,39286.135998885424,3.27
static,100,99,0.5043894652833201,10.786133333333334,2852.243058162234,7886.437800556692,0.49561053471667993,0.787585526964409,0.4488888888888889,0.448,1.0,3363.948226666774,5748.830666666753,2737.501186666708,293.20817333342336,333.23886666664293,1.0,468.6687524532985,47.03726399999999,103.00316266664667,266.2458005333181,52.382525253333895,16.985135999999997,3.624123842498443,11.27,27.61728818541144,37078.22408649513,3.2
adaptive,100,42,0.9718252347897101,20.30933333333333,445.6420085053454,1874.5785755950546,0.028174765210289943,0.9634971934002381,0.15337763012181616,0.15337763012181616,1.0,4492.661026666806,7499.113333333584,2757.516533333418,806.4029600000418,928.7415333333447,1.0,361.312471566633,49.94947200000002,103.94923306664745,152.19570799998505,55.218058500000524,4.5575519999999985,1.2613879560366899,4.51,67.45186484797405,15181.196284312315,1.97
adaptive,100,7,0.9738924050632911,21.009066666666666,419.00788960474074,1262.8812363363836,0.02610759493670889,0.9593624766547434,0.14846924952587376,0.14846924952587376,1.0,4603.46241333381,7664.445333334412,2748.0229866667883,869.1261466668311,986.3132800001907,1.0,365.54947026663876,51.22531200000005,104.02310399998079,155.16127466665756,55.13977960000038,4.463328000000001,1.2209915108738536,4.46,68.96708120411365,14847.663292714817,1.98
adaptive,100,99,0.9627379505872823,20.283733333333334,478.04262767831926,2113.6999136759055,0.03726204941271771,0.9704957144574795,0.16082586253735398,0.16082586253735398,1.0,5129.45566666686,8256.500000000382,2738.5654533334514,1151.7412000000088,1239.1490133334003,1.0,376.3712683133004,50.093808000000024,104.02265759998072,167.41830213331912,54.83650058000053,4.65384,1.2365024622777616,4.77,64.67146153074151,15833.877505818275,2.04
cluster_csv,100,42,0.9740415335463258,20.8128,475.300379108082,1606.3026229000825,0.025958466453674167,0.9621869793772746,0.14900027389756232,0.14900027389756232,1.0,4421.484946666921,7089.968000000527,2758.182666666785,812.881880000065,850.420400000071,1.0,392.5671033799705,51.072479999999985,103.96616319998097,183.08591279998913,54.44254738000041,4.661327999999999,1.1873964883624604,4.49,63.62061360965859,16095.412192700716,2.17
